anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2019,13,930911.235658458,930911.235658458,39544240.13120447,42.479066334647676,0.0,39544240.13120447,2056300486.8226326,171358373.90188605,Bolívar,930911.235658458,171358373.90188602,1070833322707.3513,1150306.5831512096,6249.086626606729,1.0
2021,13,749763.8753457139,748941.0089795777,32199180.658999033,42.9929464042435,0.0010975006841411616,32234558.108576182,1676197021.6459615,139683085.13716346,Bolívar,748941.0089795777,139529782.85566247,830629828824.0332,1109072.435432205,5953.064728003511,0.9989024993158588
2022,13,818789.4617195129,818696.8532651266,34480924.25350634,42.11683984858318,0.00011310411127163356,34484824.62894836,1793210880.7053146,149434240.05877623,Bolívar,818696.8532651266,149417338.4318608,970878994914.376,1185883.384115032,6497.76662537145,0.9998868958887284
2023,13,903077.9337434726,903036.767290132,38252322.132975854,42.35965081218666,4.5584607709203695e-05,38254065.929564536,1989211428.3373559,165767619.02811298,Bolívar,903036.767290132,165760062.57622868,1060601057268.7518,1174482.6962599151,6398.4112987470035,0.9999544153922908
2024,13,796377.3261698836,796331.6851065172,34931283.72752252,43.86524406956144,5.7310852364378384e-05,34933285.78390668,1816530860.7631476,151377571.7302623,Bolívar,796331.6851065172,151368896.15259758,1059623793375.3516,1330631.209573956,7000.274298803941,0.9999426891476356
2025,13,885761.33413306,885761.33413306,38717461.39463441,43.710940975459465,0.0,38717461.39463441,2013307992.5209894,167775666.04341578,Bolívar,885761.33413306,167775666.04341578,1207442815100.9563,1363169.477568969,7196.769612516412,1.0
2010,15,428967.0211261067,428544.0182718002,17988872.180104043,41.97671980733322,0.0009860964444213804,18006628.45239697,936344679.5246425,78028723.2937202,Boyacá,428544.0182718002,77951779.44711751,506521059677.7539,1181958.067505909,6497.876806280963,0.9990139035555786
2011,15,460675.91407925356,460665.3500989367,19056681.49260185,41.36773362378799,2.293147958032371e-05,19057118.500525605,990970162.0273315,82580846.83561096,Boyacá,460665.3500989367,82578953.13460802,623675583149.2676,1353858.246589029,7552.47626029654,0.9999770685204197
2012,15,481082.5435644548,480224.01610283856,20486528.172477964,42.660357428044236,0.0017845741299512552,20523153.260852303,1067203969.5643197,88933664.13035998,Boyacá,480224.01610283856,88774955.41407117,677656350960.0303,1411125.4919306496,7633.41809409255,0.9982154258700487
2013,15,491034.68317925814,490267.80157158634,21337362.961916406,43.52185253348895,0.0015617666815438414,21370739.070156142,1111278431.6481194,92606535.97067662,Boyacá,490267.80157158634,92461906.16830441,634921347069.5437,1295050.0625051465,6866.842501752276,0.9984382333184562
2014,15,511818.69847736997,511318.12511744426,22110799.163814574,43.2427447369208,0.0009780286679929029,22132445.329839945,1150887157.1516771,95907263.09597309,Boyacá,511318.12511744426,95813463.04319648,655501146138.0485,1281983.0041962368,6841.430476659869,0.9990219713320071
2015,15,536271.3137202064,535434.7584560397,23273609.673845135,43.46675165608612,0.0015599478151522295,23309972.01375926,1212118544.7154815,101009878.72629012,Boyacá,535434.7584560397,100852308.58666223,676607095601.7933,1263659.2692503436,6708.890506164129,0.9984400521848478
2016,15,525760.6487047566,525490.9889960688,22470548.12591816,42.76105317970783,0.000512894430863442,22482079.059061784,1169068111.0712128,97422342.58926773,Boyacá,525490.9889960688,97372375.21231203,735372281520.6768,1399400.3644583486,7552.1653848667165,0.9994871055691366
2017,15,543437.4982666218,543414.7236774118,23514465.882295754,43.271676047288494,4.1908387409250736e-05,23515451.37694216,1222803471.6009924,101900289.3000827,Boyacá,543414.7236774118,101896018.82328159,772825315357.589,1422164.8433220638,7584.450543626253,0.9999580916125907
2018,15,566618.7979658268,566258.5207800118,24049899.434147846,42.471589480047925,0.0006358369808916464,24065200.978882812,1251390450.9019063,104282537.57515885,Boyacá,566258.5207800118,104216230.88130732,756510223501.8888,1335980.2912277742,7259.044172912799,0.9993641630191084
2019,15,550387.2513943772,550137.6057348934,22888775.491341352,41.60554605381996,0.00045358183506505334,22899162.135324143,1190756431.0368555,99229702.58640462,Boyacá,550137.6057348934,99184693.79581252,745943165844.2429,1355921.0606004393,7520.748789928068,0.999546418164935
2021,15,405784.0604399958,405532.96424073033,17160351.48411081,42.3155526117087,0.0006187926627605478,17170976.758541428,892890791.4441543,74407565.95367952,Boyacá,405532.96424073033,74361523.0978135,531343223905.6342,1310234.3601104177,7145.4053355889055,0.9993812073372395
2022,15,510273.9424686432,509786.22444788617,21261014.440447807,41.70574531211416,0.0009557964461157642,21281355.084005628,1106630464.3682926,92219205.36402439,Boyacá,509786.22444788617,92131062.57527383,693309096786.6586,1359999.669542921,7525.248026095481,0.9990442035538842
2023,15,518280.7512190068,518280.7512190068,21367849.28327635,41.22832891829136,0.0,21367849.28327635,1111128162.73037,92594013.56086417,Boyacá,518280.7512190068,92594013.56086417,726068101554.4679,1400916.5878662115,7841.415158845088,1.0
2024,15,529805.9535491505,529796.1551832374,21422488.13565117,40.43534088736809,1.849425407063343e-05,21422884.335917003,1113989985.4676843,92832498.78897369,Boyacá,529796.1551832374,92830781.92115507,788272340731.5562,1487878.5604982753,8491.497372079315,0.9999815057459294
