anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2018,58251.0,1274469.324059486,60846848.30610473,3164036111.9174457,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,58251000000000.0,45.70608244571694,18410.346133723222
2019,55976.0,1381977.4641355702,65472892.66607547,3404590418.6359243,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,55976000000000.0,40.50427843627183,16441.331589726797
2021,41081.0,1324995.343044,61744073.412599675,3210691817.455183,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,41081000000000.0,31.004637273382325,12795.061729892559
2022,43799.0,1482333.8949038188,69340854.23448212,3605724420.1930704,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,43799000000000.0,29.547324088438184,12147.073624016657
2023,42458.0,1521429.757374135,70649943.31129748,3673797052.1874685,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,42458000000000.0,27.906644913583836,11556.980256903269
2024,42489.0,1488708.411691137,68679887.53693078,3571354151.9204006,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,42489000000000.0,28.54084766790128,11897.16790678759
2025,41488.036133654285,1580385.0690432242,72163792.31006402,3752517200.123329,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,41488036133654.28,26.251852758120158,11056.054888246947
2010,51166.0,3368192.9896937655,164585564.6613428,8558449362.389826,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,51166000000000.0,15.190934770234762,5978.419434816007
2011,55266.99999999999,3492747.6876443913,168624457.03068078,8768471765.595402,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,55266999999999.99,15.823358840235503,6302.922730144324
2012,57438.0,3514927.2031776956,168519278.356888,8763002474.558176,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,57438000000000.0,16.341163466507286,6554.602736534772
2013,60127.00000000001,3589614.189774026,169996662.50325826,8839826450.16943,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,60127000000000.01,16.75026808487882,6801.830368383259
2014,63116.0,3534745.0707543725,166129749.15929013,8638746956.283087,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,63116000000000.0,17.85588457911903,7306.152190752018
2015,64865.99999999999,3305405.7339524366,155904922.78835678,8107055984.994553,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,64865999999999.99,19.624217182692583,8001.178247696976
2016,67212.0,3327979.966920793,157122902.88744748,8170390950.14727,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,67212000000000.0,20.196035032683135,8226.289342835977
2017,68292.0,3302221.499092903,154548983.68422508,8036547151.579704,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,68292000000000.0,20.680623640406715,8497.679253530689
2018,70200.0,3347475.3947700993,157681131.46667272,8199418836.266982,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,70200000000000.0,20.971027930384906,8561.582400144904
