anio,depto,departamento,ocupados,pib_por_trabajador_millones_2015,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,share_ocupados_remuneracion_valida
2012,20,Cesar,384693.74924318935,35.60468321549446,384132.6425358313,504801952884.73584,1312217.7157227956,0.9985414197437262
2013,20,Cesar,377634.64872438216,35.98256290850916,377270.7235627087,495396651620.5228,1311841.0963981475,0.9990363035730361
2014,20,Cesar,375681.4254301906,38.30565920974736,375421.95952125196,478187398599.6958,1272853.4503725497,0.9993093459208384
2015,20,Cesar,390228.7216468001,37.338108872711395,390201.4541065588,494514883273.6559,1267243.6851566406,0.9999301242099089
2016,20,Cesar,392542.4653051769,39.93535280729961,392133.4165080425,508818842260.9387,1296213.4984946514,0.9989579502008364
2017,20,Cesar,416587.6666263348,38.70160406438466,416238.2661356516,514349336354.95544,1234672.5012776474,0.9991612798009295
2018,20,Cesar,389292.3896747871,41.332004855761575,388948.95316312194,487295462903.1671,1251746.6968985735,0.9991177928961004
2019,20,Cesar,438458.24496114114,37.965872958178174,438143.165915997,548287937084.0696,1250490.6530670035,0.9992813932711607
2021,20,Cesar,416789.94119099126,35.457866527469704,416552.91038103413,527057170925.1527,1264563.0780317518,0.9994312943127183
2022,20,Cesar,448083.5718313853,34.802353900735554,447785.2344722748,552273547994.522,1232523.5351461256,0.9993341925973961
2023,20,Cesar,471891.1698380464,33.673692583210496,471669.28840439185,569245540836.0217,1206306.8292449452,0.9995298038025786
2024,20,Cesar,466649.8886965541,32.55771875874887,466630.1892954098,588359660384.6433,1260816.0306821219,0.999957785479818
2010,27,Chocó,199424.21845789676,19.02432605960263,199228.91577250662,198688174491.43988,996309.1545643326,0.9990206671641971
2011,27,Chocó,213435.00782216116,18.887034611098066,213143.9791829151,210872380889.57977,987993.4085849843,0.998636453118841
2012,27,Chocó,199817.13312273816,19.40247242004254,198230.74462797857,222131572643.37436,1111674.305260548,0.992060798441217
2013,27,Chocó,187067.64200738654,18.95989690274005,186533.3766280716,214580385904.144,1147073.772895855,0.9971439989643219
2014,27,Chocó,147373.91591592142,23.556789050325133,147314.3950380726,152197274120.75198,1032728.710334211,0.9995961233880576
2015,27,Chocó,148479.09775274008,24.048039514544023,148329.40364094122,158565352139.93243,1067930.466576439,0.998991816935417
2016,27,Chocó,136778.1611556517,27.5279389413839,136778.1611556517,149566803452.91577,1093499.153587178,1.0
2017,27,Chocó,169353.22435467487,20.562928971828917,169216.26692977373,176018353116.76358,1039356.3735646982,0.9991912913059493
2018,27,Chocó,198841.6654735614,16.10256131435348,198841.66547356144,195571627994.42908,983554.5660345159,1.0000000000000002
