anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2009,E_ElectricidadGasAgua,Mujer,15-29,3_Alto,246709.32032488822,1534221855.194177,153
2009,E_ElectricidadGasAgua,Mujer,30-49,1_Bajo,57467.58194582785,149294325.3893254,30
2009,E_ElectricidadGasAgua,Mujer,30-49,2_Medio,186142.84817267483,590884379.0206873,86
2009,E_ElectricidadGasAgua,Mujer,30-49,3_Alto,263332.1898149178,2462871143.4259853,179
2009,E_ElectricidadGasAgua,Mujer,50+,1_Bajo,23170.445537318767,53604152.970580205,14
2009,E_ElectricidadGasAgua,Mujer,50+,2_Medio,26680.534992585493,97586779.20314516,17
2009,E_ElectricidadGasAgua,Mujer,50+,3_Alto,12412.645926113717,158135057.2947178,17
2009,F_Construccion,Hombre,15-29,1_Bajo,3187540.7163961777,6598994759.32184,1303
2009,F_Construccion,Hombre,15-29,2_Medio,7371703.984114156,16708649793.839603,3286
2009,F_Construccion,Hombre,15-29,3_Alto,894581.3362740523,4551688632.284484,415
2009,F_Construccion,Hombre,30-49,1_Bajo,9963139.556331469,24102599801.470444,3839
2009,F_Construccion,Hombre,30-49,2_Medio,9294895.713373223,26289587827.409546,3657
2009,F_Construccion,Hombre,30-49,3_Alto,1351712.8552062712,11090983026.015553,667
2009,F_Construccion,Hombre,50+,1_Bajo,5463936.540992009,13799890690.990532,2269
2009,F_Construccion,Hombre,50+,2_Medio,2069784.0145684476,5724390966.012131,852
2009,F_Construccion,Hombre,50+,3_Alto,446970.61301830376,5742083857.921576,208
2009,F_Construccion,Mujer,15-29,1_Bajo,20453.992875683496,63978762.81079709,8
2009,F_Construccion,Mujer,15-29,2_Medio,111940.90674508388,261560911.11930537,62
2009,F_Construccion,Mujer,15-29,3_Alto,229519.62225300187,1134154535.1725025,119
2009,F_Construccion,Mujer,30-49,1_Bajo,78292.00542708297,157161659.14956775,32
2009,F_Construccion,Mujer,30-49,2_Medio,170042.32269041234,508019771.059805,69
2009,F_Construccion,Mujer,30-49,3_Alto,300631.50071027916,2058516183.1195004,148
2009,F_Construccion,Mujer,50+,1_Bajo,13646.02337035527,29275269.82937885,6
2009,F_Construccion,Mujer,50+,2_Medio,17854.266797077296,47314111.4246643,11
2009,F_Construccion,Mujer,50+,3_Alto,48208.55925777535,435256281.0967063,13
2009,G-H_ComercioHotelesRest,Hombre,15-29,1_Bajo,5145033.530678393,9996513114.496944,1945
2009,G-H_ComercioHotelesRest,Hombre,15-29,2_Medio,21377977.910109077,48101241234.6698,8618
